iter	Passed	Remaining
0	5	56746
1	9	49718
2	13	46015
3	18	45999
4	22	45632
5	27	45175
6	31	44654
7	35	44194
8	40	45288
9	44	44771
10	49	44828
11	53	44913
12	58	45154
13	63	44953
14	67	44938
15	71	44547
16	75	44501
17	80	44377
18	84	44353
19	89	44428
20	93	44587
21	98	44644
22	103	44777
23	107	44738
24	111	44592
25	116	44870
26	121	44848
27	125	44756
28	130	44949
29	135	45192
30	140	45294
31	145	45329
32	150	45442
33	155	45536
34	160	45641
35	166	46158
36	172	46533
37	179	46933
38	199	50905
39	206	51422
40	211	51380
41	216	51388
42	223	51638
43	229	51885
44	233	51759
45	238	51635
46	243	51551
47	249	51635
48	254	51723
49	259	51671
50	264	51601
51	269	51611
52	274	51598
53	280	51602
54	285	51543
55	290	51511
56	295	51593
57	300	51505
58	305	51457
59	310	51433
60	315	51386
61	320	51390
62	325	51392
63	331	51404
64	336	51419
65	341	51433
66	347	51462
67	352	51521
68	358	51538
69	363	51563
70	368	51599
71	374	51598
72	380	51678
73	385	51728
74	391	51766
75	396	51767
76	404	52138
77	411	52308
78	416	52336
79	421	52301
80	427	52323
81	432	52340
82	437	52327
83	443	52337
84	449	52394
85	454	52365
86	459	52399
87	465	52376
88	470	52409
89	476	52419
90	481	52395
91	486	52387
92	492	52423
93	497	52394
94	503	52450
95	508	52454
96	513	52471
97	519	52476
98	524	52455
99	529	52413
100	534	52410
101	540	52428
102	545	52393
103	550	52396
104	556	52401
105	561	52389
106	566	52406
107	572	52429
108	578	52460
109	583	52477
110	589	52496
111	594	52521
112	601	52620
113	606	52592
114	611	52559
115	616	52518
116	621	52528
117	627	52536
118	632	52524
119	638	52574
120	643	52554
121	649	52548
122	654	52559
123	659	52533
124	665	52544
125	670	52530
126	675	52524
127	681	52540
128	686	52535
129	692	52550
130	697	52554
131	702	52539
132	708	52571
133	714	52570
134	719	52578
135	724	52573
136	730	52560
137	735	52534
138	740	52549
139	746	52549
140	751	52525
141	756	52511
142	762	52556
143	767	52550
144	773	52547
145	779	52591
146	784	52576
147	790	52588
148	795	52569
149	800	52541
150	805	52539
151	810	52534
152	816	52530
153	821	52523
154	827	52536
155	832	52520
156	837	52536
157	843	52549
158	849	52557
159	854	52534
160	860	52557
161	865	52556
162	870	52544
163	875	52531
164	881	52516
165	886	52529
166	892	52523
167	897	52521
168	903	52533
169	908	52519
170	913	52525
171	919	52515
172	924	52508
173	929	52492
174	935	52509
175	940	52507
176	945	52497
177	951	52485
178	956	52494
179	962	52499
180	968	52513
181	973	52503
182	978	52473
183	983	52484
184	989	52486
185	994	52478
186	1000	52476
187	1004	52451
188	1010	52454
189	1015	52433
190	1020	52417
191	1026	52423
192	1031	52413
193	1037	52425
194	1043	52460
195	1051	52618
196	1061	52815
197	1075	53233
198	1086	53498
199	1091	53489
200	1097	53506
201	1103	53514
202	1109	53525
203	1114	53521
204	1120	53550
205	1127	53616
206	1135	53699
207	1141	53744
208	1148	53788
209	1155	53871
210	1163	53980
211	1173	54157
212	1182	54341
213	1190	54418
214	1197	54480
215	1204	54538
216	1210	54595
217	1217	54637
218	1224	54694
219	1231	54737
220	1238	54803
221	1248	55009
222	1256	55087
223	1263	55153
224	1270	55208
225	1278	55279
226	1284	55291
227	1289	55265
228	1295	55285
229	1302	55327
230	1314	55569
231	1323	55737
232	1330	55762
233	1338	55860
234	1353	56246
235	1366	56531
236	1389	57249
237	1400	57451
238	1409	57570
239	1418	57681
240	1436	58179
241	1457	58770
242	1488	59746
243	1523	60904
244	1537	61199
245	1542	61167
246	1548	61132
247	1553	61096
248	1559	61053
249	1564	61013
250	1569	60975
251	1577	61015
252	1582	60975
253	1588	60944
254	1593	60894
255	1598	60853
256	1604	60810
257	1609	60762
258	1614	60719
259	1620	60692
260	1625	60660
261	1631	60634
262	1636	60587
263	1641	60544
264	1647	60505
265	1652	60458
266	1657	60422
267	1666	60511
268	1672	60501
269	1678	60492
270	1685	60493
271	1691	60497
272	1696	60463
273	1704	60489
274	1710	60486
275	1715	60444
276	1721	60434
277	1726	60390
278	1733	60384
279	1739	60387
280	1749	60517
281	1756	60522
282	1763	60543
283	1769	60524
284	1774	60504
285	1780	60475
286	1786	60458
287	1792	60433
288	1798	60418
289	1803	60377
290	1809	60367
291	1815	60360
292	1821	60336
293	1827	60328
294	1833	60305
295	1838	60288
296	1844	60265
297	1850	60243
298	1855	60213
299	1861	60201
300	1867	60186
301	1873	60160
302	1879	60139
303	1884	60117
304	1890	60090
305	1896	60074
306	1901	60049
307	1907	60030
308	1913	60000
309	1919	59989
310	1925	59990
311	1932	59995
312	1937	59976
313	1943	59961
314	1951	59990
315	1961	60126
